,muon_pt0,muon_pt1,muon_pt2,muon_pt3,muon_phi0,muon_phi1,muon_phi2,muon_phi3
205,41.838547,39.578575,36.576824,,-0.11534111,1.022356,-0.33262923,
206,80.14864,48.87291,37.483715,34.776222,-2.8322728,-3.004076,-2.7703898,-1.9982722
207,62.32885,43.510513,30.464155,,-0.8485316,-1.0281901,-0.46349785,
208,100.804955,81.00419,75.38503,64.28909,2.7142804,2.8880343,2.5908198,-3.1299706
209,90.34994,60.0547,58.409027,58.383892,-0.7861851,-1.2767353,-1.6419145,-1.1304437
210,55.808933,36.600765,34.9579,,-1.2775316,-2.0835075,-0.21613438,
211,59.261402,40.078335,,,1.4658123,1.7005556,,
212,58.781536,56.66137,47.88112,45.013443,-3.005301,-2.604236,-1.4654151,-2.4121227
213,113.23692,54.30908,41.165672,37.784866,-2.8429615,-1.7191557,-2.2682436,-2.0847013
214,134.65671,65.534874,44.253876,42.392647,0.97585946,1.6478459,1.6850598,1.2134477
215,49.17345,44.537918,39.399853,25.286343,2.4313443,-2.5351653,2.9703276,2.217998
216,51.638165,40.19046,35.822437,34.796425,-1.059567,-1.5382915,-2.2029107,0.2587973
217,33.636513,,,,2.6186383,,,
218,49.013496,34.218758,32.449368,32.420483,0.30186245,1.4185233,1.619257,1.199735
219,60.476753,56.058308,32.117737,31.321507,-1.5954506,-2.4704466,2.6680918,-1.482654
220,51.20941,43.299473,40.29985,35.750114,2.5579972,-1.6982746,-3.062491,-2.1866999
221,60.63752,55.178333,46.69572,33.88372,-1.7695271,-3.0723133,-2.3005235,-2.4696906
222,48.108543,38.915062,33.899765,,-2.401527,-2.7592454,-0.6162768,
223,105.43798,56.91031,50.09286,38.409504,-2.645017,-2.5715408,-2.3148441,2.5907059
224,41.93881,38.642094,30.892384,29.816347,-1.5830767,-0.70986265,0.25223085,-0.21443373
225,51.957172,28.686869,,,-2.2650268,-2.8117304,,
226,39.004124,37.523483,29.935904,,-1.4728487,3.0516977,-3.0832162,
227,63.914402,63.749283,60.827774,38.321682,0.19700308,0.023071893,0.40838483,-0.7734577
228,75.51656,44.97575,42.619232,34.59127,-0.4571145,-0.35114342,0.06675749,0.520349
229,55.89251,38.123947,,,-0.28405997,-0.500562,,
230,116.45568,36.41274,33.90162,,-3.1155462,1.9402697,2.5847511,
231,61.27633,39.201355,33.37754,,1.7214385,3.0869782,-2.8685956,
232,145.33812,63.25858,47.39814,33.610672,-0.9411942,-1.4134256,-1.9039365,-1.3185163
233,129.37172,69.11887,39.125923,32.57294,-2.9372923,-2.8740377,2.950099,2.5597453
234,84.82741,72.34872,62.359947,38.795048,-1.9107016,-2.684782,-2.2387989,-2.686832
235,72.67122,53.788353,33.278374,,2.7718241,2.2783346,1.990282,
236,87.958275,71.03697,58.772453,52.29298,0.9785543,1.4782045,0.91471034,0.38246232
237,55.65493,54.852005,46.042927,31.994581,2.8836799,1.6352165,1.6212435,1.7575605
238,135.4179,41.535828,39.98823,38.975727,1.1261864,0.3396924,0.6357004,1.6103733
239,101.38076,61.616497,36.172363,34.6636,0.17811757,-0.7442753,-0.3920407,0.35115322
240,42.68395,38.164547,37.59884,37.42496,-2.5439708,2.3618753,-2.046679,2.7986877
241,50.57202,41.3614,38.9776,33.92749,1.0677077,1.821652,0.2124542,0.6209095
242,51.089924,36.50239,33.543797,32.001175,-0.36346248,0.27448785,-1.1053877,-0.84305274
243,54.40882,46.428097,40.582806,39.566975,0.9109504,2.0351846,0.7217317,1.4745113
244,68.96354,56.609005,43.440285,34.608925,-0.14167821,-0.5631429,-0.010975636,-1.6058868
245,51.0967,,,,-2.053712,,,
246,110.82764,41.683678,40.088974,,-2.044541,-0.6649879,-1.5838125,
247,55.725857,55.71952,46.054752,34.95763,2.0100136,0.4006975,1.1847088,0.5765905
248,113.98634,61.757732,40.02945,,-2.2958212,-2.865838,2.5899584,
249,61.53687,57.02643,45.004005,40.558064,1.8531351,1.4664216,0.51187706,1.3064947
250,70.10419,40.253983,35.338184,,0.85260594,-0.030990873,0.08593919,
251,79.56071,75.273575,57.52626,,-0.638438,-0.7835824,-0.9020341,
252,45.996704,36.746994,29.048838,,-0.36260268,-0.29608184,-0.92449343,
253,158.95494,62.90366,32.500626,,-0.51415765,-0.0072916765,-0.45747465,
254,90.95751,35.532196,34.33758,,-1.269306,-2.7290835,-2.3544421,
255,80.405846,63.809746,61.865807,,2.7098243,1.6896205,2.085159,
256,92.94064,46.6361,46.313427,33.395844,-1.4259328,-0.09867432,-0.86952037,-1.001789
257,53.1163,38.036892,29.62187,,0.43832037,0.5375949,0.92225176,
258,75.87275,75.464424,49.34947,42.712406,-2.5702674,2.8716867,-2.221892,-2.9255848
259,92.05093,57.759438,57.463932,51.26366,2.7816873,1.695837,2.1978755,2.5772383
260,63.277405,61.166862,34.338505,32.50735,-2.9041595,-2.5568566,-2.8879752,3.0530455
261,41.50355,37.871174,31.895702,,-1.0151343,-1.6611629,-1.8983592,
262,52.79642,35.435146,32.41787,,-3.0608168,2.8882027,2.014386,
263,85.46661,47.21406,30.57033,,-1.5014867,-1.2239026,-0.5160786,
264,114.10138,48.681877,34.894398,25.515646,-1.8299387,-2.4322107,-2.1422637,-2.8626513
265,95.92232,56.097645,45.162594,32.274586,-2.5769334,-3.110546,-1.9151628,-2.5094385
266,138.44136,67.077934,48.14364,38.468044,2.0892262,1.2521086,1.5699995,1.6670091
267,63.423584,45.54846,44.491413,41.512825,2.5168273,-2.3627203,2.0819612,-2.973967
268,82.97422,69.08725,35.80992,33.560413,-0.687952,-1.8590351,-1.4710236,-0.51961905
269,71.12716,60.07762,43.505573,40.71684,2.604758,2.3405783,-2.3550577,2.9894848
270,110.34027,44.82688,38.118427,34.86637,-1.1740512,-1.1851391,-0.6753233,-0.6942768
271,74.63256,65.169525,49.62992,,-2.4278288,-2.4932582,2.924611,
272,90.31364,74.26882,59.070606,32.723476,-1.7597053,-1.3292812,-0.7568894,-2.0632815
273,94.41999,51.71193,47.025333,,0.84391385,1.544016,1.1042441,
274,93.95062,76.8129,65.414635,,-1.1130285,-1.7599889,-2.2102392,
275,45.04936,32.102253,31.519644,,1.7986426,-3.0226898,-2.0324411,
276,59.10608,46.09789,39.425632,31.323107,1.1793858,1.5707424,2.580464,1.3001616
277,92.38808,57.12022,49.336655,26.941994,1.931451,-3.0758212,2.8313556,2.3192384
278,84.3812,40.79167,40.32008,,-1.9791694,-2.1606462,-1.3587959,
279,58.037292,39.105587,36.250107,30.560566,1.3196888,2.2272248,1.9289618,1.5945659
280,57.11495,42.091778,40.729362,37.846436,-2.6380608,-2.2516062,-1.5411016,2.481135
281,118.41094,61.745884,43.16925,31.666079,2.5171416,1.7811877,1.4249943,2.1796038
282,148.86168,93.225685,51.420803,37.56942,-1.9605234,-1.1674867,-1.7642871,-1.5621544
283,99.58492,38.898777,37.684895,30.637629,2.8672204,-2.910132,3.0055149,-2.1399095
284,52.880432,51.57644,42.872417,,0.015779642,0.23649669,-0.6950929,
285,155.7865,56.098503,43.37894,34.414192,0.54080516,0.04134105,-0.18476097,0.9268639
286,85.47017,54.033466,47.135315,35.8653,-0.66347617,-1.9871829,-1.4616452,-1.3442191
287,132.86943,34.57937,32.855434,31.55558,1.8534478,0.6928445,0.7088988,1.3901024
288,90.806366,62.33802,61.88773,35.432167,0.0352865,1.2504182,0.56544024,0.9826736
289,109.53529,46.70252,36.082935,32.758118,2.6417832,1.7218457,1.9744662,2.708537
290,77.67345,69.838684,49.602425,30.303936,-1.6546756,-2.1616611,-2.6422858,3.0984797
291,93.87456,68.05417,,,0.117787756,1.0770258,,
292,181.47975,73.11898,51.605698,45.77566,1.2010596,0.4969668,0.9614489,0.76159567
293,81.85959,45.9581,41.68812,30.072453,0.5563009,0.298519,-1.0305508,-0.6245938
294,33.53836,32.84072,32.70783,31.790262,-1.933956,2.7849693,-0.22068213,-2.1302185
295,99.858154,48.157047,35.2919,,0.48181272,-0.8846257,-0.2249017,
296,73.08284,63.500023,56.38407,47.45801,-2.734821,2.9644525,-2.686042,-2.2671454
297,51.716236,40.399185,33.926525,31.202644,1.6303296,2.1018689,2.5168846,1.9093463
298,44.664352,43.28383,40.2844,30.834454,1.8415803,2.9223633,2.5863636,-2.328676
299,114.323944,43.18467,39.31906,37.722954,2.4080267,3.0181427,2.4236286,1.4381576
300,53.872017,43.675987,33.60089,31.203009,-2.802779,2.7582083,2.9626548,-1.9096564
301,65.576164,52.449398,48.85658,42.507694,-1.5814751,-1.6684215,-1.2161405,-1.7019655
302,45.688026,39.95925,39.561504,,-3.067571,-2.5225744,-1.1145209,
303,108.15906,49.972553,39.711205,34.662426,1.9730204,1.6865243,0.98149544,1.1533269
304,159.01212,41.09868,37.67463,,-0.15809639,0.24293064,1.0987082,
305,73.298256,41.807858,39.31938,29.813965,0.07832837,0.50559235,-0.095398545,2.0065532
306,116.57516,75.17686,37.95303,37.383957,1.5759944,1.8215145,0.9404625,2.1646044
307,50.756775,34.467804,33.779697,30.801037,-0.621185,-1.4352055,-0.96753585,-2.6282504
308,67.30035,45.294903,36.025097,31.86051,-1.328419,-1.0364844,-0.05706946,-0.19067912
309,53.054955,38.94076,37.289093,,1.8274577,2.604447,0.38872677,
310,49.369217,35.043274,,,-1.2039912,-2.4089043,,
311,132.56325,121.02619,34.168694,30.447939,1.5238304,2.072008,2.0101671,2.2811866
